id,state,soil_type,irrigation,season,crop,RDF_N_kg_ha,RDF_P2O5_kg_ha,RDF_K2O_kg_ha,adjusted_N_kg_ha,adjusted_P2O5_kg_ha,adjusted_K2O_kg_ha
57,Punjab,Sandy loam,Irrigated,Rabi (Winter),Wheat,120,60,60,118,69,61
58,Bihar,Black,Rainfed,Kharif (Monsoon),Maize,150,60,30,157,48,33
59,Punjab,Black,Irrigated,Kharif (Monsoon),Potato,150,90,100,148,92,116
60,Punjab,Black,Irrigated,Rabi (Winter),Potato,150,90,100,171,93,118
61,Bihar,Black,Rainfed,Kharif (Monsoon),Tomato,120,80,50,118,88,56
62,Uttar Pradesh,Black,Irrigated,Rabi (Winter),Tomato,120,80,50,104,73,45
63,Uttar Pradesh,Sandy loam,Irrigated,Kharif (Monsoon),Sugarcane,200,60,100,192,51,88
64,Bihar,Black,Rainfed,Summer (Zaid),Tomato,120,80,50,116,70,48
65,Maharashtra,Sandy loam,Rainfed,Rabi (Winter),Rice,120,60,60,135,55,57
66,Bihar,Loam,Rainfed,Kharif (Monsoon),Mustard,80,40,40,78,32,37
67,Bihar,Loam,Rainfed,Kharif (Monsoon),Potato,150,90,100,128,86,102
68,Punjab,Sandy loam,Rainfed,Kharif (Monsoon),Tomato,120,80,50,108,72,46
69,Bihar,Clay loam,Rainfed,Rabi (Winter),Mustard,80,40,40,86,45,36
70,Punjab,Black,Irrigated,Summer (Zaid),Potato,150,90,100,129,106,88
71,Punjab,Sandy loam,Irrigated,Kharif (Monsoon),Sugarcane,200,60,100,220,62,89
72,Bihar,Sandy loam,Irrigated,Rabi (Winter),Mustard,80,40,40,86,34,41
73,Punjab,Loam,Rainfed,Kharif (Monsoon),Rice,120,60,60,135,61,69
74,Bihar,Black,Irrigated,Kharif (Monsoon),Sugarcane,200,60,100,176,66,114
75,Maharashtra,Sandy loam,Irrigated,Rabi (Winter),Potato,150,90,100,146,85,100
76,Uttar Pradesh,Sandy loam,Rainfed,Rabi (Winter),Wheat,120,60,60,117,56,69
77,Bihar,Loam,Rainfed,Kharif (Monsoon),Potato,150,90,100,170,81,112
78,Maharashtra,Black,Rainfed,Rabi (Winter),Mustard,80,40,40,75,35,46
79,Uttar Pradesh,Black,Irrigated,Rabi (Winter),Groundnut,25,50,75,23,49,69
80,Bihar,Loam,Rainfed,Rabi (Winter),Soybean,25,60,40,23,62,46
81,Maharashtra,Sandy loam,Irrigated,Kharif (Monsoon),Sugarcane,200,60,100,213,59,110
82,Bihar,Black,Rainfed,Kharif (Monsoon),Wheat,120,60,60,112,57,53
83,Maharashtra,Clay loam,Rainfed,Summer (Zaid),Potato,150,90,100,142,107,102
84,Uttar Pradesh,Black,Rainfed,Rabi (Winter),Mustard,80,40,40,73,43,37
85,Maharashtra,Loam,Irrigated,Kharif (Monsoon),Tomato,120,80,50,111,82,55
86,Maharashtra,Clay loam,Irrigated,Kharif (Monsoon),Mustard,80,40,40,73,34,32
87,Maharashtra,Loam,Rainfed,Kharif (Monsoon),Rice,120,60,60,121,64,51
88,Bihar,Sandy loam,Irrigated,Summer (Zaid),Mustard,80,40,40,79,39,34
89,Punjab,Clay loam,Rainfed,Kharif (Monsoon),Wheat,120,60,60,116,49,63
90,Punjab,Loam,Irrigated,Summer (Zaid),Mustard,80,40,40,70,35,40
91,Bihar,Loam,Rainfed,Rabi (Winter),Tomato,120,80,50,112,82,48
92,Maharashtra,Sandy loam,Irrigated,Kharif (Monsoon),Sugarcane,200,60,100,185,49,89
93,Maharashtra,Sandy loam,Irrigated,Kharif (Monsoon),Groundnut,25,50,75,24,51,68
94,Haryana,Clay loam,Rainfed,Summer (Zaid),Tomato,120,80,50,104,71,45
95,Maharashtra,Loam,Rainfed,Kharif (Monsoon),Potato,150,90,100,137,77,90
96,Haryana,Sandy loam,Irrigated,Kharif (Monsoon),Mustard,80,40,40,82,45,46
97,Bihar,Sandy loam,Rainfed,Summer (Zaid),Mustard,80,40,40,84,47,40
98,Bihar,Black,Irrigated,Summer (Zaid),Rice,120,60,60,134,65,62
99,Punjab,Sandy loam,Irrigated,Summer (Zaid),Rice,120,60,60,137,64,54
100,Punjab,Loam,Rainfed,Summer (Zaid),Tomato,120,80,50,134,69,51
101,Bihar,Sandy loam,Rainfed,Rabi (Winter),Groundnut,25,50,75,23,53,85
102,Uttar Pradesh,Black,Rainfed,Rabi (Winter),Groundnut,25,50,75,27,51,73
103,Uttar Pradesh,Clay loam,Rainfed,Kharif (Monsoon),Groundnut,25,50,75,27,56,60
104,Maharashtra,Black,Rainfed,Kharif (Monsoon),Sugarcane,200,60,100,201,62,99
105,Bihar,Sandy loam,Irrigated,Rabi (Winter),Potato,150,90,100,133,82,115
106,Bihar,Sandy loam,Irrigated,Summer (Zaid),Sugarcane,200,60,100,212,55,80
107,Bihar,Sandy loam,Irrigated,Kharif (Monsoon),Tomato,120,80,50,136,84,43
108,Uttar Pradesh,Clay loam,Rainfed,Rabi (Winter),Tomato,120,80,50,110,81,47
109,Maharashtra,Loam,Irrigated,Rabi (Winter),Groundnut,25,50,75,23,55,68
110,Punjab,Clay loam,Rainfed,Summer (Zaid),Tomato,120,80,50,133,78,49
111,Uttar Pradesh,Black,Rainfed,Rabi (Winter),Sugarcane,200,60,100,228,53,95
112,Bihar,Sandy loam,Rainfed,Summer (Zaid),Tomato,120,80,50,127,89,47
113,Haryana,Black,Irrigated,Kharif (Monsoon),Potato,150,90,100,170,83,84
114,Bihar,Sandy loam,Rainfed,Kharif (Monsoon),Maize,150,60,30,145,63,25
115,Bihar,Clay loam,Rainfed,Summer (Zaid),Groundnut,25,50,75,26,57,85
116,Maharashtra,Black,Rainfed,Summer (Zaid),Tomato,120,80,50,133,65,41
117,Uttar Pradesh,Loam,Irrigated,Rabi (Winter),Wheat,120,60,60,129,64,50
118,Haryana,Clay loam,Irrigated,Kharif (Monsoon),Soybean,25,60,40,27,55,37
119,Haryana,Loam,Rainfed,Summer (Zaid),Maize,150,60,30,135,49,34
120,Maharashtra,Loam,Rainfed,Summer (Zaid),Maize,150,60,30,137,63,29
121,Punjab,Black,Rainfed,Summer (Zaid),Potato,150,90,100,134,87,93
122,Maharashtra,Clay loam,Rainfed,Summer (Zaid),Mustard,80,40,40,78,36,47
123,Bihar,Sandy loam,Irrigated,Rabi (Winter),Soybean,25,60,40,25,71,36
124,Bihar,Clay loam,Irrigated,Summer (Zaid),Rice,120,60,60,134,65,67
125,Uttar Pradesh,Loam,Rainfed,Kharif (Monsoon),Sugarcane,200,60,100,207,64,108
126,Haryana,Sandy loam,Irrigated,Rabi (Winter),Tomato,120,80,50,103,75,42
127,Uttar Pradesh,Clay loam,Rainfed,Kharif (Monsoon),Sugarcane,200,60,100,177,60,118
128,Maharashtra,Clay loam,Irrigated,Rabi (Winter),Tomato,120,80,50,136,73,57
129,Punjab,Black,Irrigated,Kharif (Monsoon),Sugarcane,200,60,100,221,65,119
130,Maharashtra,Clay loam,Irrigated,Rabi (Winter),Rice,120,60,60,111,50,56
131,Uttar Pradesh,Black,Rainfed,Kharif (Monsoon),Sugarcane,200,60,100,198,62,117
132,Uttar Pradesh,Loam,Irrigated,Summer (Zaid),Tomato,120,80,50,134,73,48
133,Haryana,Sandy loam,Irrigated,Rabi (Winter),Tomato,120,80,50,106,71,50
134,Bihar,Black,Rainfed,Summer (Zaid),Potato,150,90,100,146,98,86
135,Bihar,Sandy loam,Rainfed,Summer (Zaid),Groundnut,25,50,75,28,45,80
136,Haryana,Black,Rainfed,Kharif (Monsoon),Soybean,25,60,40,21,64,40
137,Uttar Pradesh,Sandy loam,Rainfed,Rabi (Winter),Sugarcane,200,60,100,228,70,112
138,Punjab,Loam,Irrigated,Kharif (Monsoon),Soybean,25,60,40,23,51,41
139,Punjab,Loam,Irrigated,Kharif (Monsoon),Soybean,25,60,40,27,66,41
140,Uttar Pradesh,Loam,Irrigated,Summer (Zaid),Mustard,80,40,40,87,33,45
141,Haryana,Sandy loam,Rainfed,Kharif (Monsoon),Soybean,25,60,40,21,54,34
142,Bihar,Sandy loam,Irrigated,Rabi (Winter),Tomato,120,80,50,130,80,42
143,Maharashtra,Loam,Irrigated,Summer (Zaid),Potato,150,90,100,141,95,81
144,Bihar,Black,Rainfed,Summer (Zaid),Wheat,120,60,60,119,69,49
145,Punjab,Clay loam,Irrigated,Kharif (Monsoon),Maize,150,60,30,139,63,30
146,Uttar Pradesh,Black,Rainfed,Rabi (Winter),Potato,150,90,100,154,75,108
147,Maharashtra,Loam,Rainfed,Rabi (Winter),Sugarcane,200,60,100,194,67,95
148,Punjab,Clay loam,Rainfed,Rabi (Winter),Mustard,80,40,40,76,34,46
149,Punjab,Sandy loam,Irrigated,Kharif (Monsoon),Groundnut,25,50,75,21,54,84
150,Maharashtra,Sandy loam,Rainfed,Summer (Zaid),Wheat,120,60,60,116,68,70
151,Bihar,Sandy loam,Rainfed,Summer (Zaid),Mustard,80,40,40,76,41,35
152,Bihar,Loam,Irrigated,Rabi (Winter),Potato,150,90,100,144,99,102
153,Bihar,Sandy loam,Rainfed,Kharif (Monsoon),Maize,150,60,30,139,66,35
154,Uttar Pradesh,Sandy loam,Irrigated,Kharif (Monsoon),Groundnut,25,50,75,21,54,89
155,Punjab,Loam,Rainfed,Rabi (Winter),Tomato,120,80,50,114,75,54
156,Maharashtra,Sandy loam,Irrigated,Kharif (Monsoon),Maize,150,60,30,161,49,24
157,Bihar,Black,Rainfed,Summer (Zaid),Tomato,120,80,50,116,70,50
158,Uttar Pradesh,Black,Irrigated,Rabi (Winter),Tomato,120,80,50,120,73,44
159,Maharashtra,Sandy loam,Irrigated,Kharif (Monsoon),Mustard,80,40,40,90,44,44
160,Uttar Pradesh,Clay loam,Irrigated,Kharif (Monsoon),Tomato,120,80,50,128,69,47
161,Haryana,Clay loam,Irrigated,Rabi (Winter),Rice,120,60,60,117,59,49
162,Uttar Pradesh,Black,Rainfed,Summer (Zaid),Groundnut,25,50,75,23,48,88
163,Haryana,Black,Rainfed,Kharif (Monsoon),Groundnut,25,50,75,27,44,77
164,Maharashtra,Sandy loam,Rainfed,Rabi (Winter),Soybean,25,60,40,22,66,33
165,Punjab,Loam,Rainfed,Rabi (Winter),Maize,150,60,30,138,51,26
166,Maharashtra,Loam,Irrigated,Kharif (Monsoon),Tomato,120,80,50,118,82,51
167,Maharashtra,Clay loam,Rainfed,Kharif (Monsoon),Tomato,120,80,50,104,78,46
168,Uttar Pradesh,Sandy loam,Rainfed,Summer (Zaid),Wheat,120,60,60,113,58,49
169,Uttar Pradesh,Sandy loam,Irrigated,Summer (Zaid),Potato,150,90,100,144,92,118
170,Punjab,Black,Irrigated,Rabi (Winter),Tomato,120,80,50,120,94,49
171,Uttar Pradesh,Sandy loam,Irrigated,Kharif (Monsoon),Sugarcane,200,60,100,212,71,100
172,Maharashtra,Loam,Rainfed,Rabi (Winter),Mustard,80,40,40,77,44,42
173,Punjab,Clay loam,Irrigated,Rabi (Winter),Wheat,120,60,60,122,57,54
174,Maharashtra,Loam,Rainfed,Kharif (Monsoon),Maize,150,60,30,168,55,31
175,Bihar,Loam,Irrigated,Rabi (Winter),Potato,150,90,100,144,100,112
176,Maharashtra,Sandy loam,Rainfed,Summer (Zaid),Soybean,25,60,40,21,55,47
177,Uttar Pradesh,Black,Irrigated,Kharif (Monsoon),Maize,150,60,30,134,55,33
178,Maharashtra,Sandy loam,Rainfed,Summer (Zaid),Maize,150,60,30,154,51,26
179,Maharashtra,Loam,Rainfed,Kharif (Monsoon),Groundnut,25,50,75,23,54,89
180,Maharashtra,Clay loam,Rainfed,Kharif (Monsoon),Potato,150,90,100,138,106,111
181,Haryana,Clay loam,Rainfed,Rabi (Winter),Mustard,80,40,40,86,40,38
182,Haryana,Loam,Irrigated,Rabi (Winter),Rice,120,60,60,125,68,61
183,Punjab,Sandy loam,Rainfed,Kharif (Monsoon),Maize,150,60,30,139,69,25
184,Bihar,Sandy loam,Irrigated,Rabi (Winter),Soybean,25,60,40,28,57,38
185,Uttar Pradesh,Loam,Rainfed,Kharif (Monsoon),Soybean,25,60,40,22,55,33
186,Uttar Pradesh,Loam,Irrigated,Kharif (Monsoon),Mustard,80,40,40,90,39,45
187,Bihar,Black,Irrigated,Kharif (Monsoon),Rice,120,60,60,111,68,61
188,Maharashtra,Black,Irrigated,Rabi (Winter),Sugarcane,200,60,100,188,49,96
189,Maharashtra,Black,Irrigated,Kharif (Monsoon),Tomato,120,80,50,123,64,50
190,Haryana,Loam,Rainfed,Rabi (Winter),Rice,120,60,60,124,53,57
191,Punjab,Clay loam,Irrigated,Summer (Zaid),Potato,150,90,100,150,107,102
192,Bihar,Black,Irrigated,Summer (Zaid),Groundnut,25,50,75,28,45,60
193,Punjab,Clay loam,Irrigated,Summer (Zaid),Wheat,120,60,60,129,65,55
194,Punjab,Clay loam,Rainfed,Summer (Zaid),Maize,150,60,30,164,64,35
195,Bihar,Loam,Irrigated,Kharif (Monsoon),Tomato,120,80,50,103,70,55
196,Punjab,Clay loam,Rainfed,Summer (Zaid),Groundnut,25,50,75,28,50,67
197,Haryana,Clay loam,Rainfed,Kharif (Monsoon),Soybean,25,60,40,23,67,38
198,Bihar,Black,Rainfed,Rabi (Winter),Maize,150,60,30,149,59,35
199,Maharashtra,Clay loam,Irrigated,Summer (Zaid),Groundnut,25,50,75,21,52,84
200,Maharashtra,Clay loam,Rainfed,Kharif (Monsoon),Wheat,120,60,60,113,55,58
201,Bihar,Loam,Rainfed,Rabi (Winter),Tomato,120,80,50,103,91,47
202,Bihar,Clay loam,Irrigated,Kharif (Monsoon),Groundnut,25,50,75,23,56,80
203,Punjab,Loam,Rainfed,Kharif (Monsoon),Maize,150,60,30,130,66,28
204,Bihar,Sandy loam,Irrigated,Summer (Zaid),Tomato,120,80,50,136,75,55
205,Maharashtra,Loam,Rainfed,Rabi (Winter),Soybean,25,60,40,26,53,33
206,Haryana,Black,Rainfed,Summer (Zaid),Wheat,120,60,60,111,54,58
207,Maharashtra,Clay loam,Rainfed,Kharif (Monsoon),Wheat,120,60,60,106,49,52
208,Bihar,Sandy loam,Rainfed,Summer (Zaid),Soybean,25,60,40,26,61,36
209,Uttar Pradesh,Loam,Irrigated,Rabi (Winter),Potato,150,90,100,137,107,111
210,Haryana,Black,Irrigated,Rabi (Winter),Potato,150,90,100,153,88,119
211,Haryana,Sandy loam,Irrigated,Rabi (Winter),Groundnut,25,50,75,28,54,75
212,Bihar,Sandy loam,Irrigated,Rabi (Winter),Wheat,120,60,60,118,64,56
213,Maharashtra,Loam,Irrigated,Rabi (Winter),Potato,150,90,100,168,73,84
214,Haryana,Clay loam,Irrigated,Kharif (Monsoon),Soybean,25,60,40,28,53,47
215,Maharashtra,Clay loam,Irrigated,Rabi (Winter),Sugarcane,200,60,100,208,61,85
216,Uttar Pradesh,Sandy loam,Irrigated,Summer (Zaid),Maize,150,60,30,135,62,34
217,Uttar Pradesh,Sandy loam,Irrigated,Kharif (Monsoon),Rice,120,60,60,136,66,54
218,Haryana,Black,Irrigated,Rabi (Winter),Potato,150,90,100,140,106,99
219,Bihar,Clay loam,Rainfed,Kharif (Monsoon),Rice,120,60,60,107,57,59
220,Uttar Pradesh,Loam,Rainfed,Summer (Zaid),Soybean,25,60,40,26,68,47
221,Haryana,Clay loam,Irrigated,Rabi (Winter),Sugarcane,200,60,100,197,54,89
222,Punjab,Sandy loam,Rainfed,Rabi (Winter),Groundnut,25,50,75,23,57,64
223,Uttar Pradesh,Clay loam,Irrigated,Kharif (Monsoon),Tomato,120,80,50,137,78,57
224,Bihar,Sandy loam,Irrigated,Rabi (Winter),Potato,150,90,100,148,80,103
225,Punjab,Sandy loam,Rainfed,Rabi (Winter),Tomato,120,80,50,112,64,42
226,Haryana,Clay loam,Rainfed,Rabi (Winter),Soybean,25,60,40,21,49,40
227,Uttar Pradesh,Clay loam,Irrigated,Rabi (Winter),Potato,150,90,100,147,91,113
228,Maharashtra,Sandy loam,Irrigated,Kharif (Monsoon),Groundnut,25,50,75,24,59,76
229,Uttar Pradesh,Loam,Irrigated,Summer (Zaid),Potato,150,90,100,145,73,81
230,Uttar Pradesh,Black,Rainfed,Kharif (Monsoon),Potato,150,90,100,133,105,92
231,Bihar,Clay loam,Rainfed,Summer (Zaid),Potato,150,90,100,151,97,91
232,Punjab,Clay loam,Rainfed,Summer (Zaid),Wheat,120,60,60,137,62,67
233,Punjab,Black,Rainfed,Summer (Zaid),Sugarcane,200,60,100,213,62,86
234,Maharashtra,Black,Irrigated,Summer (Zaid),Sugarcane,200,60,100,171,70,84
235,Punjab,Black,Rainfed,Rabi (Winter),Maize,150,60,30,146,52,30
236,Maharashtra,Black,Irrigated,Summer (Zaid),Maize,150,60,30,150,61,35
237,Bihar,Black,Rainfed,Kharif (Monsoon),Tomato,120,80,50,134,74,47
238,Uttar Pradesh,Black,Irrigated,Kharif (Monsoon),Mustard,80,40,40,81,35,47
239,Uttar Pradesh,Clay loam,Irrigated,Summer (Zaid),Tomato,120,80,50,113,75,58
240,Uttar Pradesh,Clay loam,Irrigated,Summer (Zaid),Potato,150,90,100,144,107,112
241,Haryana,Clay loam,Irrigated,Rabi (Winter),Wheat,120,60,60,114,58,54
242,Bihar,Loam,Irrigated,Summer (Zaid),Mustard,80,40,40,90,43,34
243,Maharashtra,Loam,Irrigated,Kharif (Monsoon),Potato,150,90,100,137,80,84
244,Uttar Pradesh,Black,Irrigated,Summer (Zaid),Maize,150,60,30,127,61,35
245,Bihar,Black,Rainfed,Summer (Zaid),Sugarcane,200,60,100,215,54,91
246,Punjab,Sandy loam,Irrigated,Summer (Zaid),Rice,120,60,60,134,52,69
247,Haryana,Sandy loam,Rainfed,Rabi (Winter),Maize,150,60,30,169,71,35
248,Punjab,Sandy loam,Rainfed,Summer (Zaid),Wheat,120,60,60,135,56,58
249,Maharashtra,Black,Irrigated,Summer (Zaid),Tomato,120,80,50,111,89,46
250,Bihar,Clay loam,Irrigated,Kharif (Monsoon),Soybean,25,60,40,27,61,44
251,Haryana,Black,Rainfed,Summer (Zaid),Soybean,25,60,40,21,64,34
252,Haryana,Black,Rainfed,Kharif (Monsoon),Rice,120,60,60,111,53,66
253,Uttar Pradesh,Clay loam,Irrigated,Rabi (Winter),Soybean,25,60,40,26,49,33
254,Uttar Pradesh,Loam,Rainfed,Summer (Zaid),Potato,150,90,100,169,103,110
255,Punjab,Clay loam,Rainfed,Summer (Zaid),Sugarcane,200,60,100,183,51,86
256,Maharashtra,Clay loam,Rainfed,Summer (Zaid),Potato,150,90,100,168,99,112
257,Haryana,Loam,Irrigated,Summer (Zaid),Tomato,120,80,50,121,75,58
258,Punjab,Sandy loam,Irrigated,Summer (Zaid),Potato,150,90,100,134,83,100
259,Punjab,Loam,Rainfed,Kharif (Monsoon),Potato,150,90,100,147,74,85
260,Bihar,Black,Irrigated,Summer (Zaid),Tomato,120,80,50,126,73,40
261,Uttar Pradesh,Sandy loam,Irrigated,Summer (Zaid),Wheat,120,60,60,103,56,49
262,Punjab,Sandy loam,Rainfed,Kharif (Monsoon),Mustard,80,40,40,77,44,44
263,Bihar,Clay loam,Rainfed,Rabi (Winter),Groundnut,25,50,75,24,53,79
264,Maharashtra,Loam,Rainfed,Kharif (Monsoon),Maize,150,60,30,172,57,25
265,Haryana,Sandy loam,Irrigated,Rabi (Winter),Tomato,120,80,50,126,81,50
266,Haryana,Loam,Rainfed,Rabi (Winter),Maize,150,60,30,139,70,32
267,Punjab,Sandy loam,Rainfed,Summer (Zaid),Rice,120,60,60,110,49,62
268,Bihar,Sandy loam,Irrigated,Summer (Zaid),Rice,120,60,60,116,53,53
269,Punjab,Loam,Rainfed,Kharif (Monsoon),Soybean,25,60,40,25,66,45
270,Haryana,Clay loam,Irrigated,Summer (Zaid),Potato,150,90,100,137,82,82
271,Maharashtra,Loam,Rainfed,Summer (Zaid),Tomato,120,80,50,103,75,52
272,Bihar,Clay loam,Rainfed,Rabi (Winter),Maize,150,60,30,140,52,30
273,Haryana,Loam,Rainfed,Summer (Zaid),Maize,150,60,30,163,69,30
274,Bihar,Loam,Rainfed,Kharif (Monsoon),Mustard,80,40,40,72,42,46
275,Uttar Pradesh,Sandy loam,Irrigated,Kharif (Monsoon),Mustard,80,40,40,77,41,32
276,Punjab,Loam,Irrigated,Rabi (Winter),Sugarcane,200,60,100,222,55,118
277,Punjab,Loam,Irrigated,Summer (Zaid),Wheat,120,60,60,128,66,69
278,Maharashtra,Loam,Rainfed,Kharif (Monsoon),Potato,150,90,100,141,82,98
279,Uttar Pradesh,Clay loam,Rainfed,Rabi (Winter),Potato,150,90,100,167,88,112
280,Bihar,Clay loam,Irrigated,Rabi (Winter),Soybean,25,60,40,24,61,35
281,Haryana,Sandy loam,Rainfed,Summer (Zaid),Groundnut,25,50,75,23,43,66
282,Maharashtra,Loam,Rainfed,Summer (Zaid),Soybean,25,60,40,23,67,47
283,Bihar,Black,Irrigated,Summer (Zaid),Soybean,25,60,40,22,65,39
284,Maharashtra,Sandy loam,Irrigated,Kharif (Monsoon),Rice,120,60,60,129,57,68
285,Haryana,Sandy loam,Irrigated,Kharif (Monsoon),Sugarcane,200,60,100,200,56,104
286,Maharashtra,Black,Rainfed,Kharif (Monsoon),Rice,120,60,60,121,57,48
287,Uttar Pradesh,Clay loam,Irrigated,Summer (Zaid),Groundnut,25,50,75,27,58,63
288,Punjab,Loam,Irrigated,Kharif (Monsoon),Potato,150,90,100,138,84,111
289,Punjab,Clay loam,Rainfed,Rabi (Winter),Sugarcane,200,60,100,229,53,107
290,Punjab,Sandy loam,Irrigated,Rabi (Winter),Groundnut,25,50,75,24,49,79
291,Haryana,Sandy loam,Rainfed,Rabi (Winter),Soybean,25,60,40,25,68,33
292,Maharashtra,Sandy loam,Irrigated,Kharif (Monsoon),Tomato,120,80,50,111,93,53
293,Uttar Pradesh,Sandy loam,Irrigated,Rabi (Winter),Rice,120,60,60,136,62,66
294,Bihar,Sandy loam,Rainfed,Kharif (Monsoon),Sugarcane,200,60,100,204,68,107
295,Maharashtra,Clay loam,Rainfed,Summer (Zaid),Maize,150,60,30,163,64,24
296,Uttar Pradesh,Sandy loam,Irrigated,Rabi (Winter),Sugarcane,200,60,100,220,56,110
297,Maharashtra,Black,Rainfed,Kharif (Monsoon),Mustard,80,40,40,86,39,35
